0	0.00025
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0



0	0.815831
1	0.0866701
2	0.00321594
3	6.15272e-05
4	7.20443e-07
5	5.7001e-09
6	3.2519e-11
7	1.40082e-13
8	4.71612e-16
9	1.27456e-18
10	2.82478e-21
11	5.2245e-24
12	8.18184e-27
13	1.09833e-29
14	1.27719e-32
15	1.29827e-35
16	1.16279e-38
17	9.24047e-42
18	6.55588e-45
19	4.17546e-48
20	2.39916e-51
21	1.2492e-54
22	5.91785e-58
23	2.56005e-61
24	1.01469e-64
25	3.69602e-68
26	1.24071e-71
27	3.84816e-75
28	1.10537e-78
29	2.94702e-82
30	7.3072e-86
31	1.6882e-89
32	3.6404e-93
33	7.33881e-97
34	1.38515e-100
35	2.45114e-104
36	4.07185e-108
37	6.35755e-112
38	9.33992e-116
39	1.29241e-119
40	1.68606e-123
41	2.07564e-127
42	2.4132e-131
43	2.6517e-135
44	2.75583e-139
45	2.71055e-143
46	2.52461e-147
47	2.22791e-151
48	1.86373e-155
49	1.47856e-159
50	1.11285e-163
51	7.94939e-168
52	5.39084e-172
53	3.47153e-176
54	2.12334e-180
55	1.23375e-184
56	6.81092e-189
57	3.57263e-193
58	1.78071e-197
59	8.43383e-202
60	3.79542e-206
61	1.62278e-210
62	6.59123e-215
