1.97	0.353043	0.386787
1.98	0.335952	0.36999
1.99	0.318723	0.353043
2	0.301363	0.335952
2.01	0.283876	0.318723
2.02	0.26627	0.301363
2.03	0.24855	0.283876
2.04	0.230723	0.26627
2.05	0.212795	0.24855
2.06	0.194773	0.230723
2.07	0.176664	0.212795
2.08	0.158473	0.194773
2.09	0.140207	0.176664
2.1	0.121874	0.158473
2.11	0.103479	0.140207
2.12	0.0850289	0.121874
2.13	0.0665314	0.103479
2.14	0.0479928	0.0850289
2.15	0.02942	0.0665314
2.16	0.0108198	0.0479928
2.17	-0.00780089	0.02942
2.18	-0.0264351	0.0108198
2.19	-0.045076	-0.00780089
2.2	-0.0637166	-0.0264351
2.21	-0.0823498	-0.045076
2.22	-0.100969	-0.0637166
2.23	-0.119566	-0.0823498
2.24	-0.138136	-0.100969
2.25	-0.15667	-0.119566
2.26	-0.175162	-0.138136
2.27	-0.193604	-0.15667
2.28	-0.21199	-0.175162
2.29	-0.230313	-0.193604
2.3	-0.248565	-0.21199
2.31	-0.26674	-0.230313
2.32	-0.284831	-0.248565
2.33	-0.30283	-0.26674
2.34	-0.320732	-0.284831
2.35	-0.338528	-0.30283
2.36	-0.356212	-0.320732
2.37	-0.373777	-0.338528
2.38	-0.391217	-0.356212
2.39	-0.408524	-0.373777
2.4	-0.425693	-0.391217
2.41	-0.442715	-0.408524
2.42	-0.459585	-0.425693
2.43	-0.476295	-0.442715
2.44	-0.49284	-0.459585
2.45	-0.509213	-0.476295
2.46	-0.525407	-0.49284
2.47	-0.541416	-0.509213
2.48	-0.557234	-0.525407
2.49	-0.572854	-0.541416
2.5	-0.58827	-0.557234
2.51	-0.603476	-0.572854
2.52	-0.618466	-0.58827
2.53	-0.633234	-0.603476
2.54	-0.647773	-0.618466
2.55	-0.662079	-0.633234
2.56	-0.676145	-0.647773
2.57	-0.689966	-0.662079
2.58	-0.703536	-0.676145
2.59	-0.71685	-0.689966
2.6	-0.729902	-0.703536
2.61	-0.742686	-0.71685
2.62	-0.755199	-0.729902
2.63	-0.767433	-0.742686
2.64	-0.779386	-0.755199
2.65	-0.791051	-0.767433
2.66	-0.802423	-0.779386
2.67	-0.813499	-0.791051
2.68	-0.824273	-0.802423
2.69	-0.83474	-0.813499
2.7	-0.844898	-0.824273
2.71	-0.85474	-0.83474
2.72	-0.864264	-0.844898
2.73	-0.873465	-0.85474
2.74	-0.882339	-0.864264
2.75	-0.890882	-0.873465
2.76	-0.899091	-0.882339
2.77	-0.906963	-0.890882
2.78	-0.914492	-0.899091
2.79	-0.921678	-0.906963
2.8	-0.928516	-0.914492
2.81	-0.935003	-0.921678
